91,10,91
99,72,99
16,91,82
27,24,92
30,59,100
45,18,72
36,20,55
92,84,58
82,75,59
3,16,78
24,78,16
48,36,10
100,60,45
58,15,24
7,58,7
23,3,14
50,7,20
10,88,15
32,14,36
55,100,18
41,65,84
18,92,3
14,80,57
35,52,96
6,37,47
72,79,49
2,45,25
20,47,37
42,49,5
78,68,97
59,25,26
34,99,41
57,61,13
96,5,94
11,83,50
43,13,88
15,27,8
21,77,27
26,50,28
5,98,21
88,64,22
94,74,81
29,97,48
97,26,43
84,93,2
12,67,65
8,82,1
47,95,39
13,55,32
37,71,44
9,94,38
39,41,29
81,51,19
40,22,53
28,90,34
65,57,40
25,69,12
49,54,4
46,62,9
60,76,79
53,34,6
79,86,42
56,66,11
31,56,68
85,85,60
68,73,17
19,53,33
52,81,30
69,89,56
38,96,23
17,70,31
75,63,46
1,87,85
90,1,80
33,21,35
80,43,52
70,12,70
83,4,69
86,32,98
89,38,90
63,11,83
22,35,89
98,19,63
87,48,54
74,42,75
76,29,86
61,33,76
54,44,61
62,39,62
71,2,87
67,8,74
4,23,71
77,28,66
66,30,77
44,6,67
93,31,93
51,9,51
95,46,95
64,40,64
73,17,73
